id,unique,value
City of London,Sir John Cass's Foundation Primary School,57.5
City of London,City of London School for Girls,46
City of London,St Paul's Cathedral School,54.8
City of London,City of London School,57.4
City of London,Charterhouse Square School,50.9
City of London,London Metropolitan University,46.4
City of London,Guildhall School of Music and Drama,46.2
Westminster,Kensington Park School,44.9
Westminster,Portland Place School,51.9
Westminster,St Nicholas Preparatory School,51.1
Westminster,David Game College,52.2
Westminster,Tachbrook Nursery School,47.9
Westminster,Dorothy Gardner Centre,42.4
Westminster,Mary Paterson Nursery School,42
Westminster,Barrow Hill Junior School,42.4
Westminster,Edward Wilson Primary School,43.6
Westminster,Essendine Primary School,41.8
Westminster,George Eliot Primary School,44.4
Westminster,Hallfield Primary School,43.8
Westminster,Robinsfield Infant School,41.3
Westminster,Queen's Park Primary School,42
Westminster,All Souls CofE Primary School,48
Westminster,Burdett-Coutts and Townshend Foundation CofE Primary School,47.1
Westminster,Hampden Gurney CofE Primary School,52
Westminster,Our Lady of Dolours RC Primary School,47
Westminster,St Augustine's CofE Primary School,41.9
Westminster,St Barnabas' CofE Primary School,48.4
Westminster,St Clement Danes CofE Primary School,56
Westminster,St Edward's Catholic Primary School,47.6
Westminster,St Gabriel's CofE Primary School,45.9
Westminster,St George's Hanover Square CofE Primary School,48.7
Westminster,Soho Parish CofE Primary School,50.5
Westminster,St James & St John Church of England Primary School,45.9
Westminster,St Joseph's RC Primary School,44.8
Westminster,St Luke's CofE Primary School,44.3
Westminster,St Mary Magdalene CofE Primary School,42.3
Westminster,St Mary's Bryanston Square CofE School,53.8
Westminster,St. Mary of the Angels Catholic Primary School,44
Westminster,"St Matthew's School, Westminster",49.1
Westminster,St Peter's CofE School,45.3
Westminster,St Peter's Eaton Square CofE Primary School,55.5
Westminster,St Saviour's CofE Primary School,43.1
Westminster,St Stephen's CofE Primary School,46.2
Westminster,St Vincent's Catholic Primary School,48.3
Westminster,St Vincent de Paul RC Primary School,54.4
Westminster,Westminster Cathedral RC Primary School,51.2
